name	tier	url	requested_ref	resolved_commit	describe	submodule_commits
cutlass	core	https://github.com/NVIDIA/cutlass.git	HEAD	dcf215af68a2d08d305076c152a06f201728cd53	dcf215af	-
flash-attention	core	https://github.com/Dao-AILab/flash-attention.git	HEAD	145b1010051dbfd4bdc41a0ae55d495b08d7a458	145b101	c56c6750d0fc54ed771d532cc92c316423449614 csrc/composable_kernel,7127592069c2fe01b041e174ba4345ef9b279671 csrc/cutlass (7127592),9bab8388c35936814a659b4ebd245c491e1b940a third_party/aiter
